"Geneid" "Allel" "Tissue" "Value"
"359" "Ntsc3873" "sa" "veg" -0.816798232548249
"360" "Ntsc3873" "sa" "sex" 0.259193376564653
"361" "Ntsc3876" "BA" "veg" -0.326829126743547
"362" "Ntsc3876" "BA" "sex" -0.280305525006629
"363" "Ntsc3876" "sa" "veg" -0.298561721079323
"364" "Ntsc3876" "sa" "sex" -0.2392974807546
"365" "Ntsc1420" "BA" "veg" 0.794904806259363
"366" "Ntsc1420" "BA" "sex" -0.231993897925407
"367" "Ntsc1420" "sa" "veg" 0.212061336688253
"368" "Ntsc1420" "sa" "sex" -0.647929683639831
"369" "Ntsc3872" "BA" "veg" 0.54762700681247
"370" "Ntsc3872" "BA" "sex" 0.467281556382345
"371" "Ntsc3872" "sa" "veg" 0.398355265210141
"372" "Ntsc3872" "sa" "sex" 0.49462726997801
"373" "Ntsc3875" "BA" "veg" -0.821129938169293
"374" "Ntsc3875" "BA" "sex" -0.604758177724022
"375" "Ntsc3875" "sa" "veg" -0.423449813218736
"376" "Ntsc3875" "sa" "sex" -0.08615215948239
"377" "Ntsc3878" "BA" "veg" 0.922482838726116
"378" "Ntsc3878" "BA" "sex" 0.864113506005782
"379" "Ntsc3878" "sa" "veg" 0.385940816158371
"380" "Ntsc3878" "sa" "sex" 0.763992411188061
"381" "Ntsc7883" "BA" "veg" NA
"382" "Ntsc7883" "BA" "sex" NA
"383" "Ntsc7883" "sa" "veg" NA
"384" "Ntsc7883" "sa" "sex" NA
"385" "Ntsc3862" "BA" "veg" -0.107756013120477
"386" "Ntsc3862" "BA" "sex" 0.502417813437571
"387" "Ntsc3862" "sa" "veg" 0.196631040199876
"388" "Ntsc3862" "sa" "sex" -0.0365421331473311
"389" "Ntsc3868" "BA" "veg" 0.235225241938422
"390" "Ntsc3868" "BA" "sex" -0.402020003777553
"391" "Ntsc3868" "sa" "veg" 0.507544751386059
"392" "Ntsc3868" "sa" "sex" 0.260848523387179
"393" "Ntsc3869" "BA" "veg" -0.861578025801867
"394" "Ntsc3869" "BA" "sex" -0.000211748415971765
"395" "Ntsc3869" "sa" "veg" 0.341593025051549
"396" "Ntsc3869" "sa" "sex" -0.723021480027607
"397" "Ntsc3867" "BA" "veg" 0.785260591147384
"398" "Ntsc3867" "BA" "sex" -0.116867932126674
"399" "Ntsc3867" "sa" "veg" 0.554826942261781
"400" "Ntsc3867" "sa" "sex" -0.468235801504049
"401" "Ntsc1419" "BA" "veg" -0.243382429038227
"402" "Ntsc1419" "BA" "sex" 0.759699577349259
"403" "Ntsc1419" "sa" "veg" -0.794736706209544
"404" "Ntsc1419" "sa" "sex" 0.450868732379103
"405" "Ntsc3861" "BA" "veg" -0.872586333170606
"406" "Ntsc3861" "BA" "sex" -0.311406482436045
"407" "Ntsc3861" "sa" "veg" -0.312293200541531
"408" "Ntsc3861" "sa" "sex" 0.269691650417032
"409" "Ntsc3866" "BA" "veg" 0.0538479014559376
"410" "Ntsc3866" "BA" "sex" 0.316819160087399
"411" "Ntsc3866" "sa" "veg" -0.146371943982223
"412" "Ntsc3866" "sa" "sex" -0.259586953570154
"413" "Ntsc3865" "BA" "veg" -0.0927872875686006
"414" "Ntsc3865" "BA" "sex" 0.88176243055955
"415" "Ntsc3865" "sa" "veg" -0.0639553360510801
"416" "Ntsc3865" "sa" "sex" 0.584073479449368
"417" "Ntsc3860" "BA" "veg" -0.193253351125207
"418" "Ntsc3860" "BA" "sex" -0.749310871461071
"419" "Ntsc3860" "sa" "veg" -0.718519363366312
"420" "Ntsc3860" "sa" "sex" -0.417832320523608
"421" "Ntsc3871" "BA" "veg" -0.508634368233003
"422" "Ntsc3871" "BA" "sex" -0.527806752376226
"423" "Ntsc3871" "sa" "veg" 0.150911352612283
"424" "Ntsc3871" "sa" "sex" 0.468661775322852
"425" "Ntsc3864" "BA" "veg" 0.692919646452536
"426" "Ntsc3864" "BA" "sex" -0.0936660274215438
"427" "Ntsc3864" "sa" "veg" 0.808854019858991
"428" "Ntsc3864" "sa" "sex" 0.100419304626826
"429" "Ntsc3870" "BA" "veg" -0.55899880072868
"430" "Ntsc3870" "BA" "sex" 0.0876341299765299
"431" "Ntsc3870" "sa" "veg" -0.841076529667703
"432" "Ntsc3870" "sa" "sex" 0.607957276649531
"433" "Ntsc1418" "BA" "veg" -0.145157094857116
"434" "Ntsc1418" "BA" "sex" -0.00339107848660469
"435" "Ntsc1418" "sa" "veg" 0.25532277980473
"436" "Ntsc1418" "sa" "sex" -0.217661682449699
"437" "Ntsc3859" "BA" "veg" -0.229769141366728
"438" "Ntsc3859" "BA" "sex" 0.240386356417209
"439" "Ntsc3859" "sa" "veg" 0.446974651991124
"440" "Ntsc3859" "sa" "sex" 0.588754812186951
"441" "Ntsc3863" "BA" "veg" -0.441123624598505
"442" "Ntsc3863" "BA" "sex" -0.348891797295661
"443" "Ntsc3863" "sa" "veg" -0.179163970650403
"444" "Ntsc3863" "sa" "sex" -0.490331912722714
"445" "Ntsc3858" "BA" "veg" -0.00419821331536634
"446" "Ntsc3858" "BA" "sex" -0.0973889322250622
"447" "Ntsc3858" "sa" "veg" 0.665022784620742
"448" "Ntsc3858" "sa" "sex" -0.440661976224518
"449" "Ntsc3852" "BA" "veg" 0.0884687176410293
"450" "Ntsc3852" "BA" "sex" 0.0346976925298479
"451" "Ntsc3852" "sa" "veg" -0.383712065422489
"452" "Ntsc3852" "sa" "sex" 0.562626188371536
"453" "Ntsc7881" "BA" "veg" -0.0321064553066549
"454" "Ntsc7881" "BA" "sex" -0.785396175380662
"455" "Ntsc7881" "sa" "veg" 0.711110668158183
"456" "Ntsc7881" "sa" "sex" -0.0902021707653844
"457" "Ntsc3851" "BA" "veg" 0.628678720146205
"458" "Ntsc3851" "BA" "sex" 0.741555717784248
"459" "Ntsc3851" "sa" "veg" 0.483571948894036
"460" "Ntsc3851" "sa" "sex" 0.823947035810909
"461" "Ntsc3857" "BA" "veg" 0.0024573488739978
"462" "Ntsc3857" "BA" "sex" 0.273569206671607
"463" "Ntsc3857" "sa" "veg" 0.644869327451636
"464" "Ntsc3857" "sa" "sex" 0.586248785726128
"465" "Ntsc3849" "BA" "veg" -0.614814482354702
"466" "Ntsc3849" "BA" "sex" -0.0575966364272758
"467" "Ntsc3849" "sa" "veg" -0.308090081190005
"468" "Ntsc3849" "sa" "sex" 0.125711054613857
"469" "Ntsc3848" "BA" "veg" 0.539761150738937
"470" "Ntsc3848" "BA" "sex" -0.180319742903508
"471" "Ntsc3848" "sa" "veg" 0.147890047423697
"472" "Ntsc3848" "sa" "sex" 0.66251646796771
"473" "Ntsc3850" "BA" "veg" 0.294439459851827
"474" "Ntsc3850" "BA" "sex" -0.0470716324762791
"475" "Ntsc3850" "sa" "veg" 0.0120266037887564
"476" "Ntsc3850" "sa" "sex" 0.0211971283674986
"477" "Ntsc3847" "BA" "veg" -0.361181494662758
"478" "Ntsc3847" "BA" "sex" 0.655477448177705
"479" "Ntsc3847" "sa" "veg" 0.150479598274941
"480" "Ntsc3847" "sa" "sex" 0.599848280759223
